exam_score,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty
86.4,23,male,ba,6.55,56.9,yes,5.5,average,self-study,high,moderate
80.2,23,male,bba,3.92,90.5,yes,7.0,average,online videos,low,easy
80.9,22,male,bba,5.01,51.4,yes,6.2,average,coaching,high,easy
63.1,24,male,bba,0.08,95.8,yes,4.5,average,coaching,medium,hard
61.3,17,female,b.sc,2.61,73.8,yes,8.5,average,self-study,low,moderate
83.9,22,other,bba,7.77,67.1,yes,8.1,good,mixed,low,moderate
82.6,20,other,diploma,3.54,63.9,yes,8.2,average,coaching,low,moderate
100.0,21,other,bca,6.9,82.0,yes,5.0,good,coaching,medium,hard
38.8,18,male,diploma,2.57,75.8,yes,9.8,poor,mixed,low,moderate
54.1,23,other,diploma,4.82,59.4,no,6.0,good,online videos,medium,moderate
68.3,22,other,bba,4.32,47.5,yes,7.2,average,coaching,low,hard
94.3,20,female,bca,4.87,97.7,yes,7.8,good,self-study,high,hard
58.5,20,female,b.com,2.65,78.8,yes,8.0,average,group study,high,easy
74.3,22,male,b.com,6.85,94.4,yes,9.0,average,mixed,medium,moderate
19.599,21,female,bba,0.56,45.3,yes,5.1,poor,coaching,medium,easy
30.9,20,female,b.sc,3.93,71.9,yes,5.4,poor,online videos,low,easy
70.7,19,other,bba,6.12,85.0,yes,8.2,average,group study,medium,hard
54.4,18,female,b.tech,6.24,53.2,yes,9.0,poor,self-study,high,moderate
71.9,24,male,b.com,6.02,44.9,yes,5.7,good,self-study,high,moderate
45.1,23,male,bca,0.57,53.2,yes,4.2,good,mixed,medium,moderate
52.0,21,male,b.sc,5.23,61.8,no,7.8,poor,online videos,high,easy
66.7,24,female,bca,4.68,50.3,yes,6.4,average,online videos,high,easy
67.4,19,other,b.sc,7.07,78.5,yes,4.3,poor,coaching,medium,moderate
72.1,19,male,ba,4.28,55.0,yes,6.9,good,coaching,high,hard
46.5,17,male,diploma,2.81,53.6,no,5.5,good,group study,low,moderate
82.3,19,other,bca,7.79,51.3,yes,8.8,good,mixed,low,easy
100.0,17,female,ba,5.17,99.4,yes,7.5,average,self-study,medium,easy
58.0,22,other,b.sc,4.75,72.9,no,6.6,poor,group study,medium,easy
84.4,23,male,ba,5.4,85.4,yes,9.1,average,coaching,high,moderate
61.7,21,female,ba,4.3,71.1,yes,7.5,poor,mixed,high,easy
99.3,19,other,diploma,6.68,93.9,yes,4.9,average,mixed,medium,easy
51.5,23,female,diploma,2.3,82.1,yes,8.7,average,coaching,high,moderate
69.6,17,other,diploma,3.8,80.8,yes,8.3,poor,online videos,low,moderate
28.5,18,female,b.tech,1.31,81.1,yes,8.2,poor,self-study,low,easy
85.2,17,male,b.sc,4.58,65.7,yes,9.9,average,online videos,medium,easy
64.8,21,female,diploma,6.43,83.2,yes,5.0,average,online videos,high,moderate
37.4,17,male,b.sc,0.85,73.1,yes,8.3,poor,self-study,low,easy
50.3,23,female,diploma,0.88,90.0,yes,5.0,average,group study,medium,moderate
55.9,20,male,diploma,1.34,76.6,yes,7.9,average,self-study,low,hard
53.0,21,male,bca,1.11,57.1,yes,7.4,average,coaching,high,moderate
74.8,22,male,bba,7.21,61.0,yes,5.9,average,group study,low,hard
57.9,22,other,b.sc,4.36,94.0,yes,9.0,average,self-study,high,moderate
90.6,20,male,bca,6.03,62.6,yes,9.8,good,online videos,high,moderate
86.6,18,other,b.com,7.89,57.0,yes,8.5,poor,online videos,medium,easy
53.5,22,female,bca,5.02,42.8,yes,4.4,good,online videos,low,easy
77.2,19,male,b.com,7.23,40.6,yes,9.7,poor,mixed,low,moderate
74.6,18,female,bca,3.19,52.0,no,8.2,good,coaching,high,easy
60.1,19,female,diploma,2.77,93.5,yes,5.7,poor,self-study,medium,moderate
52.4,23,male,b.tech,4.51,82.4,yes,6.6,poor,online videos,low,moderate
63.1,22,male,b.com,6.26,75.1,yes,9.6,average,online videos,medium,moderate
49.5,20,other,b.tech,0.64,52.7,yes,6.7,good,group study,low,moderate
34.7,19,male,b.sc,1.21,41.5,yes,5.1,poor,self-study,medium,moderate
19.599,23,female,ba,2.03,54.7,no,6.2,poor,group study,medium,moderate
100.0,24,male,b.sc,7.39,91.9,yes,5.7,average,coaching,medium,moderate
91.5,18,male,diploma,7.4,77.1,yes,8.3,average,group study,high,moderate
97.6,22,male,b.sc,7.91,66.3,no,9.2,average,coaching,high,moderate
79.4,23,other,b.tech,6.6,79.3,no,9.8,average,group study,medium,easy
93.1,23,male,ba,7.62,74.4,yes,4.3,poor,mixed,medium,moderate
66.6,23,male,bba,5.73,76.7,yes,8.2,average,group study,medium,easy
49.3,17,female,b.tech,7.23,54.2,yes,4.3,poor,self-study,low,moderate
70.7,23,other,b.com,7.55,52.5,yes,8.4,poor,online videos,high,easy
76.7,20,male,ba,5.22,94.1,yes,4.9,good,group study,low,moderate
84.1,21,male,ba,5.27,95.2,no,4.7,good,group study,high,moderate
52.7,19,male,b.com,2.84,52.6,yes,9.5,good,online videos,low,moderate
73.7,24,male,ba,6.7,99.0,yes,8.7,poor,group study,medium,hard
69.0,22,female,bba,5.9,78.7,yes,8.2,average,group study,low,easy
55.1,19,female,b.com,2.99,88.9,no,7.4,good,group study,medium,hard
72.2,17,male,b.com,6.63,81.3,yes,7.8,poor,online videos,high,hard
47.8,21,female,b.tech,1.96,68.3,yes,8.2,average,coaching,medium,easy
64.7,18,male,bca,4.04,52.8,yes,7.2,average,mixed,high,hard
43.7,18,male,bca,3.24,59.4,yes,9.0,average,self-study,medium,moderate
48.0,24,female,b.com,0.65,48.8,yes,6.6,good,coaching,low,moderate
93.8,24,other,b.sc,5.96,63.8,yes,8.1,average,coaching,high,moderate
36.5,23,other,ba,2.56,96.6,no,6.7,average,group study,low,moderate
64.1,17,male,b.sc,2.3,64.4,yes,9.5,good,coaching,low,hard
76.2,24,female,bca,5.75,79.9,yes,6.2,good,online videos,medium,moderate
48.5,24,female,b.com,0.56,64.0,yes,4.4,average,coaching,high,easy
35.5,18,other,b.tech,3.25,48.0,yes,5.4,poor,self-study,low,hard
79.3,17,female,diploma,4.5,73.0,yes,5.0,good,self-study,medium,moderate
88.8,22,other,b.com,7.71,59.7,yes,8.2,good,coaching,high,hard
70.9,17,male,bca,2.83,67.0,yes,8.5,good,mixed,low,hard
79.8,24,male,b.tech,2.94,95.0,yes,8.3,average,online videos,high,moderate
29.0,24,female,bba,3.6,52.0,yes,4.6,poor,online videos,low,hard
47.0,21,other,ba,0.62,79.8,no,6.9,good,self-study,medium,moderate
90.0,24,female,b.sc,5.03,81.4,yes,5.8,good,group study,medium,easy
61.7,19,other,b.tech,7.85,41.4,yes,8.5,poor,mixed,medium,moderate
82.4,23,other,b.sc,5.21,57.2,yes,9.3,poor,group study,low,moderate
89.0,22,other,diploma,5.94,41.6,yes,7.8,average,group study,high,moderate
78.1,23,female,diploma,6.14,81.0,yes,6.0,average,mixed,medium,moderate
33.2,19,female,diploma,1.53,99.4,yes,7.9,poor,online videos,medium,easy
51.9,21,other,diploma,3.85,45.9,yes,8.8,good,group study,medium,moderate
98.2,22,other,b.sc,7.54,67.6,no,6.7,average,group study,high,moderate
66.9,24,female,bca,4.8,88.8,yes,7.8,average,group study,low,moderate
62.0,20,male,b.tech,3.11,76.2,yes,5.2,good,online videos,high,hard
59.6,18,female,diploma,2.27,88.5,yes,8.0,good,self-study,medium,easy
73.0,21,female,b.com,4.41,72.3,yes,8.3,poor,coaching,low,moderate
87.5,17,female,bba,5.7,86.4,no,9.1,average,group study,low,moderate
55.0,24,female,diploma,0.45,92.1,yes,8.0,average,group study,medium,moderate
76.0,23,male,diploma,5.1,66.1,yes,7.0,poor,coaching,low,moderate
40.2,20,other,b.tech,5.56,54.9,yes,4.3,good,group study,low,moderate
68.8,22,other,ba,7.91,40.6,no,8.7,poor,group study,high,hard
64.9,22,male,ba,3.86,40.6,no,4.2,poor,group study,medium,hard
73.3,21,male,b.com,6.29,51.2,yes,7.0,average,group study,medium,moderate
80.8,22,male,b.tech,7.21,92.5,yes,6.3,average,online videos,medium,hard
56.4,21,male,b.sc,2.21,41.3,yes,4.9,good,online videos,high,hard
63.9,20,female,diploma,2.74,91.9,yes,8.5,poor,group study,high,moderate
93.7,18,other,b.com,7.38,77.8,yes,8.1,good,self-study,low,moderate
98.0,19,male,b.com,7.34,98.6,yes,9.1,good,mixed,low,moderate
40.8,19,female,bca,1.8,46.0,yes,4.6,poor,self-study,high,moderate
85.9,24,other,diploma,7.36,51.8,yes,4.9,good,coaching,low,moderate
51.1,21,female,b.tech,6.17,51.0,no,6.8,average,online videos,high,moderate
72.9,23,other,b.sc,7.28,86.6,yes,9.6,poor,online videos,low,easy
75.0,19,male,bca,4.86,98.7,yes,9.6,good,self-study,medium,moderate
79.7,17,male,b.sc,3.03,74.0,no,5.7,good,mixed,high,hard
63.8,18,other,b.sc,4.0,79.7,yes,8.8,poor,online videos,high,moderate
38.9,24,other,b.sc,0.4,68.5,no,8.8,average,group study,low,moderate
67.6,22,female,bca,4.47,98.3,no,4.3,average,coaching,medium,moderate
55.7,22,other,b.tech,3.21,71.3,no,5.0,poor,group study,medium,moderate
65.9,22,female,bba,4.47,79.7,yes,9.7,average,self-study,medium,hard
64.3,18,other,bca,2.97,87.4,no,6.6,average,online videos,low,easy
68.0,18,other,b.sc,6.75,92.3,yes,4.5,average,coaching,medium,moderate
61.0,24,male,b.sc,3.19,49.7,yes,8.3,poor,mixed,high,moderate
65.2,18,other,bca,4.24,73.3,yes,4.5,poor,self-study,high,hard
89.1,17,female,b.sc,5.28,61.4,yes,8.8,poor,coaching,medium,easy
61.0,22,male,bba,5.92,42.6,yes,6.7,good,online videos,low,moderate
85.1,24,male,diploma,6.29,87.3,no,8.1,average,mixed,medium,moderate
53.5,22,male,b.sc,5.57,50.8,yes,6.5,average,online videos,high,moderate
79.3,18,male,b.sc,4.67,62.7,yes,6.3,average,online videos,high,moderate
62.1,22,other,b.tech,2.5,74.0,yes,6.2,good,online videos,medium,moderate
57.3,21,male,ba,1.79,57.7,yes,5.7,poor,coaching,high,moderate
44.8,20,other,diploma,1.05,67.8,yes,8.3,good,mixed,high,easy
45.3,21,other,b.sc,0.66,68.6,yes,6.8,good,mixed,high,easy
40.4,20,other,b.sc,1.56,82.3,yes,4.5,average,group study,high,moderate
66.9,17,other,ba,6.22,64.2,yes,4.6,good,online videos,medium,easy
62.8,19,other,b.sc,7.18,48.1,no,4.6,average,group study,low,easy
38.2,19,male,diploma,0.78,55.0,yes,8.0,good,mixed,high,easy
73.7,20,male,ba,7.17,58.5,yes,6.3,poor,group study,low,easy
78.7,24,male,b.tech,7.4,67.6,no,6.0,poor,online videos,high,moderate
56.6,23,other,bca,1.98,90.1,yes,7.1,poor,self-study,high,moderate
68.6,21,female,b.sc,4.28,56.5,yes,6.3,average,online videos,high,moderate
97.9,17,male,bba,5.8,88.7,yes,5.5,good,coaching,high,moderate
34.9,24,female,b.tech,0.42,43.7,yes,7.8,good,self-study,low,moderate
55.1,24,female,b.com,3.22,91.2,no,9.5,poor,mixed,low,moderate
80.1,24,other,bba,6.16,47.2,yes,6.4,poor,group study,high,moderate
78.9,23,male,b.tech,2.98,73.6,yes,9.3,average,online videos,medium,hard
75.2,20,female,bba,6.24,70.2,yes,7.6,average,group study,high,moderate
69.7,18,other,diploma,5.46,74.1,yes,6.4,good,coaching,medium,easy
47.9,19,other,diploma,4.28,60.0,yes,5.5,poor,group study,medium,hard
38.3,19,other,diploma,0.43,93.8,yes,4.2,poor,mixed,high,hard
80.5,18,female,b.sc,5.9,99.4,yes,8.6,poor,coaching,low,moderate
29.6,21,male,b.sc,1.76,48.9,yes,6.8,poor,mixed,medium,easy
55.1,22,female,bba,2.33,91.9,yes,5.6,good,self-study,high,moderate
63.9,19,female,bca,3.44,90.2,yes,4.3,average,mixed,high,easy
93.6,18,male,b.sc,6.91,99.4,yes,9.5,good,online videos,low,moderate
55.4,20,other,ba,4.21,79.3,yes,8.6,good,online videos,low,easy
63.5,19,other,b.tech,4.57,48.6,yes,7.4,good,online videos,medium,hard
88.6,21,female,b.com,6.64,69.1,no,7.8,average,coaching,high,moderate
48.4,20,female,bba,0.32,85.0,yes,6.4,average,mixed,medium,moderate
100.0,17,other,bba,6.62,78.7,yes,9.9,good,coaching,medium,moderate
65.8,18,other,bba,2.28,80.3,yes,7.2,average,mixed,low,moderate
48.3,17,male,bca,1.5,99.4,no,4.3,poor,online videos,high,easy
30.1,17,male,b.com,1.0,54.5,yes,7.1,good,mixed,high,moderate
85.6,23,female,diploma,4.37,72.3,yes,7.0,good,mixed,high,moderate
52.9,24,male,b.sc,0.64,71.1,yes,5.5,good,online videos,medium,easy
57.9,22,male,b.sc,0.7,96.4,yes,5.5,good,self-study,medium,moderate
50.2,23,male,ba,1.69,89.3,yes,6.7,poor,online videos,medium,moderate
93.1,17,other,diploma,7.59,58.2,yes,5.4,average,mixed,medium,moderate
94.3,21,female,b.sc,4.37,59.3,yes,8.3,good,coaching,high,easy
42.4,23,female,b.tech,0.21,79.2,yes,7.2,average,online videos,medium,easy
70.4,17,male,ba,1.91,98.1,yes,9.3,good,coaching,high,easy
81.2,23,male,b.com,6.28,84.0,yes,9.4,poor,group study,high,hard
68.6,19,female,b.sc,5.19,86.3,yes,9.4,average,group study,medium,moderate
59.5,19,male,ba,5.73,58.1,yes,7.1,average,mixed,high,hard
